FIPS,enthusiast_est,enthusiast_se,audience_est,audience_se,no_outreach_est,no_outreach_se
31071,0.080105224428464,0.044751109243226,0.580134763441285,0.316386381909806,0.339760012130251,0.287872643896728
31073,0.160089385149016,0.031465433630395,0.319480653403505,0.065544794101651,0.520429961447479,0.061854226667906
31075,0.106153525439853,0.095974948394712,0.30407309969422,0.423307002402719,0.589773374865927,0.342647852072636
31077,0.132684311128589,0.040498763713691,0.343408809810972,0.127412202701016,0.523906879060438,0.153106015973769
31079,0.148539842732207,0.025524104695478,0.302223159237199,0.027389222824163,0.549236998030594,0.043487736711002
31081,0.137062389586946,0.037140416324931,0.308867311644631,0.040819808529892,0.554070298768423,0.069823760546767
31083,0.110947267575986,0.055475223382177,0.544657822801475,0.199834121864403,0.344394909622539,0.166658632187771
31085,0.068145218000968,0.064185109213322,0.592236597654533,0.218894841260845,0.3396181843445,0.182566050711646
31087,0.115526428164974,0.048702229254054,0.264340619927452,0.090078860118288,0.620132951907574,0.130786158248597
31089,0.122269870601238,0.042906843809081,0.269107575780106,0.065053144342111,0.608622553618655,0.097811618518767
31091,0.12066647496936,0.095191464420199,0.426276593831451,0.288072558676002,0.453056931199189,0.221088268185526
31093,0.143453676200958,0.031318372661196,0.3190013484447,0.083260655435618,0.537544975354343,0.088507676449008
31095,0.14988230994736,0.035999425710523,0.321609600906507,0.041275830503447,0.528508089146133,0.065731854844356
31097,0.131462678376557,0.063371800852472,0.309210828509486,0.306133740835959,0.559326493113957,0.260006732560401
31099,0.157351831405982,0.037301840301681,0.306984291375134,0.035787796023568,0.535663877218884,0.050711943986376
31101,0.147256933716393,0.057100921661668,0.315795223933765,0.053785986412008,0.536947842349842,0.106817060943382
31103,0.108185794688459,0.051395448573747,0.333421933213398,0.111377584773538,0.558392272098142,0.117831755746315
31105,0.139263262901981,0.043097749298096,0.378661102601957,0.062896915291834,0.482075634496062,0.095310814548686
31107,0.127745203526855,0.048510619541493,0.224512523530787,0.076587204202623,0.647742272942358,0.11667648135356
31109,0.224273683574718,0.031209182716534,0.36600142019276,0.046870700873374,0.409724896232523,0.063988799496587
31111,0.130713065700214,0.043046437164373,0.229895676322255,0.093928895273124,0.639391257977531,0.125834198845708
31113,0.078727756611576,0.043082990057065,0.407155344662675,0.189611069647887,0.51411689872575,0.200813237750274
31115,0.118071835201131,0.014186265413406,0.578951462880735,0.261608896683084,0.302976701918134,0.25798454444598
31117,0.090144202801524,0.06979363007243,0.391791611888509,0.30984562670044,0.518064185309967,0.264811797542091
31119,0.106345379727369,0.06400845415601,0.208614097299647,0.109580619349832,0.685040522972984,0.170143614280726
31121,0.140044517476077,0.026993449392844,0.343635117670587,0.084697642812986,0.516320364853336,0.101503874463603
